word,size
任性,24
想法,4
一坨,2
屎,2
蹲下来,2
能拉出,2
坨,2
执行力,4
大粪,2
转换成,2
肥料,2
滋养,2
花朵,2
天天,16
传播,6
正,6
能量,2
傻,36
逼,122
做,120
混蛋,4
我本,4
心向,2
明月,4
奈何,2
混,2
沟渠,2
高智商,6
孤独,4
贺江,2
兵,2
 ,184
回骂,2
义务,4
忍受,2
高,12
一点,42
志合者,2
不以,2
山海,2
远,2
道,4
乖者,2
不因,2
迟尺,2
今晚,22
两个,28
小美女,8
天津,8
灌醉,2
可怜,6
图,18
男人,14
不太可能,2
震惊,2
家,14
美女,52
太多,10
牛,54
关注,18
超级女,2
声,2
红极一时,2
浏阳河,2
酒,148
关张,2
吃惊,78
收购,2
疑问,4
干嘛,18
打赏,24
款项,2
董,4
老师,36
月,16
喝,64
下个月,4
有没有,10
课,4
学生,4
想,40
报名,8
参加,6
太棒了,2
视频,8
我会,22
克制,4
抽烟,6
减量,2
回答,10
求,28
施予,2
希望,20
以此,2
信心,4
不行,22
不想,2
螺丝钉,2
是因为,4
好逸恶劳,4
懒惰,4
亲人,4
营销,54
能力,14
缺乏,2
选,4
项目,12
调研,2
只会,6
想当然,4
跌倒,2
三次,4
搞不定,2
这辈子,4
一大半,2
时间,22
沦落,2
怒,54
庆安,2
5000,6
年,52
文明史,2
著名,14
血,4
教训,2
互粉,12
好久,2
搞,34
帖子,38
单身,4
结婚,2
避开,2
转眼,2
200,6
700,4
擦,8
破,6
1000,22
19,2
赞,146
不理,2
老杜,18
子弹,2
飞再,2
一会儿,2
买,36
100,38
本送,2
送,62
一本,10
嫌多,2
猜,4
干什么,6
凡星,2
开播,2
聚会,2
哈哈哈,166
出租车,2
冲下来,2
干,40
800,4
微,10
我要,24
体验,10
产品,20
告诉,10
微博,76
好友,6
拥抱,4
无线,4
未来,18
这活,2
分管,2
马,2
总,16
谬赞,2
对付,2
亚东,2
男,4
这是,36
快速,6
超越,8
同龄,2
同行,6
同类,6
习惯,2
