word,size
酒,74
赞,73
感谢,65
逼,61
吃惊,39
衰,39
微博,38
喝,32
卖,32
红酒,32
送,31
请,29
牛,27
营销,27
怒,27
美女,26
年,26
创业,25
市场,24
中国,23
找,22
里,22
真,22
一点,21
写,21
喜欢,21
想,20
干,20
右边,20
http,20
t,20
cn,20
回复,20
帖子,19
100,19
玩,19
傻,18
老师,18
买,18
这是,18
good,18
漂亮,18
推荐,18
公司,18
搞,17
谢谢,17
葛,17
通达,17
谱,16
真的,16
转发,16
天下,16
微商,15
代理,15
企业,15
两个,14
求,14
确实,14
事,14
法国,14
粉丝,14
事情,13
这句,13
孩子,13
人生,13
任性,12
打赏,12
我要,12
天,12
差别,12
文章,12
万,12
赚,12
懂,12
今晚,11
我会,11
不行,11
时间,11
1000,11
一句,11
学习,11
喝酒,11
10,11
忽悠,11
消费者,11
拉,11
朋友,11
吹牛,11
不错,11
岁,11
没错,11
希望,10
产品,10
赚钱,10
一年,10
帮,10
互联网,10
新,10
20,10
