word,size
中国,303
美国,215
政治,124
早课,102
年,99
微博,96
公知,95
毛泽东,94
转发,83
讲,83
教授,80
历史,78
司马南,77
写,74
国家,73
文章,70
转基因,64
这是,63
理解,60
贺卫方,59
日本,56
事实,54
 ,53
里,51
新,51
北京,49
谣言,48
朋友,47
日,46
事情,46
崔,45
一种,44
节目,43
崔永元,43
内容,42
说法,42
同志,42
字,41
两个,41
前,41
社会,40
请,40
意识形态,40
造谣,39
科学,39
视频,39
新闻,38
搞,38
方舟子,37
领导,37
司马,36
党,36
网上,35
证据,35
月,34
舆论,33
台湾,33
观点,32
一点,32
态度,32
地方,32
分享,31
媒体,31
代表,31
包括,31
骂,31
照片,31
学术,31
评论,30
值得,30
关注,30
网络,30
吃,30
制造,30
自由,30
互联网,30
话,29
文革,29
世界,28
利益,28
倒,28
工作,28
事,27
事儿,27
中共,27
关系,27
喜欢,27
支持,26
公开,26
大师,26
越来越,26
未必,26
希望,26
错误,26
2014,26
