word,size
左不右,32
对错,10
听,145
忽悠,32
只信,1
诸生,1
不师,1
学古,1
以非,1
当世,2
惑乱,1
黔首,1
zheng,3
权不抱,1
希望,291
幻想,55
莫谈国,5
事,395
广州,32
佩升,1
前研,1
市场,50
研究,180
一句,47
话,107
介绍,89
服务,232
身尚,1
心已,9
飞,47
华夏,58
开心,122
蜗居,2
媣,2
香,25
原以为,2
此生,39
转世,72
知足,24
9.22,1
来临,8
天兔,2
凶猛,4
打落,1
水中,9
溺毙,1
浪底,1
三世,7
归来,35
谭双,1
汽车,47
爱心,53
早餐,3
项目,36
志愿,10
宣传员,7
志愿军,3
英烈,2
血肉之躯,3
抗击,1
武装到牙齿,1
美国佬,1
创造,59
以弱胜强,1
战争,24
奇迹,20
中国,1153
军队,8
载入,1
世界,865
强军,6
史册,4
可爱,33
中国人民志愿军,1
致敬,12
做,984
一名,102
网络,314
文明,89
传播者,12
虚心接受,1
社会各届,2
监督,17
批评,49
怒视,1
奸佞,4
小人,31
汉奸,153
卖国贼,49
伟大光荣,2
正确,53
毛泽东思想,327
万岁,92
中国共产党,39
道路,83
动摇,7
位卑,48
未敢,44
忘忧国,40
烦人,1
红色,39
义勇军,114
爱国,315
锄奸,14
队,10
方向,68
迷失,20
无原则,5
党同伐异,1
沦为,4
鹰犬,1
选择,101
离开,29
红牛,1
一生,218
黑,116
包括,31
VET,1
 ,16303
关注,877
幼儿园,4
相关,30
法律,179
资料,10
显示,11
忠贞,6
孝悌,2
礼义廉耻,7
说话,101
真理,126
不以,34
物喜,25
不以己,24
悲,37
一颗,94
帅帅,1
心,345
友情,12
互粉,84
广告,95
粉请,1
自觉,22
绕道,13
反台独,342
事情,96
够,18
深,33
一把,47
刀,13
謝謝,2
人类,138
社会,528
规律,21
微博,603
三年,19
受益匪浅,1
本是,13
粉丝,81
千数,1
何故,2
突被,1
销号,9
今见,1
孔,7
和尚,6
不足为奇,1
一筒,1
卵,3
装,38
逼,179
混成,4
屌,11
样,4
春水,3
初生,1
春林,1
初盛,1
春风,40
十里,5
知足常乐,34
理想,166
两种,33
一种,234
我来,15
国家,335
辟谷,5
养生,37
减肥,19
排毒,4
提高,12
免疫力,2
提升,16
灵性,2
高血压,2
轻度,8
心脏病,2
糖尿病,1
肝胆,11
肺气肿,1
哮喘,1
便秘,2
喜歡,10
體育,1
時政,3
軍事,2
透過,1
社會,2
関注,1
內涵,1
廣告,1
粉,139
勿扰,32
光著,1
腳,1
吖,5
來,6
溜,2
躂,1
不作,4
死,186
早作,1
早,20
坐,58
大地,41
风云突变,1
倒,28
寒,17
耻辱,11
责任,66
两次,8
踏进,1
一条,52
河,15
碰到,4
同一个,5
20140517WIFI,1
央视,9
健康,181
路,209
创始人,96
高级,81
编辑,52
收藏,40
珠宝,10
玉石,3
酒,51
青春永驻,1
鸭绿江,1
爱猫族,2
坐家,2
近著,2
新浪,126
微博群,4
魔,23
演义,3
拍案惊奇,2
之公痔,2
系列,55
http,325
weibo,16
com,483
1686199162,3
yrokHi3rT,2
yrn4OCaM0,1
笑傲江湖,8
人世间,16
行云流水,1
度华年,1
边塞,1
刁民,6
一期,2
荣华,3
杯酒,17
四十九年,1
一梦,5
间,54
山间,5
明月,41
江,3
清风,34
cp,33
此号,11
作废,2
请,415
新,254
帐号,17
名字,42
纠结,16
取关,21
谢谢,74
抠,6
鼻屎,1
光明,85
少分,2
黑暗,97
军艺,1
毕业,93
党史,3
抗美援朝,2
战史,2
学者,58
红,41
西路军,1
研究会,15
发起人,26
三个,23
公益,68
团体,10
负责人,21
农民,94
儿子,30
深爱,9
社区,58
专家,163
委员会,79
成员,68
蹲坑,1
星空,32
诗,45
一首,4
好好学习,40
天天向上,33
太阳,59
底下,2
两个,33
崇高,13
职业,125
珂,6
南,16
二世,6
退伍,14
褪色,3
继续发扬,2
优秀,78
革命军人,1
精神,176
中共党员,45
事业,78
显赫一时,3
永远,319
面对,76
骨灰,2
高尚,33
洒下,1
热泪,1
低调,69
多难,2
未必,26
兴邦,7
多演,1
穿帮,1
自娱自乐,25
自得其乐,5
61,1
脑残粉,15
江夏,2
源流,1
峭山,1
后裔,13
先贤,4
珠玑,1
南拓,1
千载,5
花县,1
岐山,2
駿馬,1
堂堂,4
异乡,5
任從,1
隨處,2
立綱常,1
2049,2
北京,212
不见不散,3
站队,35
站,124
不反,3
左,76
反右,8
反对,225
极左,26
极右,24
民主,324
宪政,75
李刚,3
网名,9
铁血,7
民间,30
志愿者,34
反奸,4
斗士,8
先,57
任民,1
保协,1
2013,34
年度,20
会长,18
邮件,3
tiexueligang,1
qq,34
坚信,55
邪不压正,4
鄙视,49
打着,3
旗号,2
干着,2
卖国,13
勾当,1
民猪,1
精蝇,5
----,31
钓鱼岛,10
琉球,7
狗日,6
日本,45
想,377
抢,9
找死,3
同济大学,2
现为,9
城镇,2
燃气公司,1
董事长,35
机会,45
喝,34
喝酒,28
聊聊天,2
电话,105
中学物理,1
教师,88
地球,54
一枚,186
资浅,2
地产,21
策划人,17
苦乐,6
本由,1
心生,9
把脉,3
人间正道,38
大观,3
万,15
类,15
始终,61
公平,140
正义,352
缩,9
差共富,1
互动,32
促,12
天下,374
养节,1
时来,4
祈祷,12
平安,58
蛛丝马迹,2
中看,2
收视,1
数据,35
真假,6
笑容,7
笑声,3
包容,22
完美,56
钢丝,24
善行,27
团,50
993176,1
号,211
甘肃省,7
分,44
微,165
相处,8
一点,113
诚意,11
捍卫,150
中华,141
核心,26
利益,93
四项,6
原则,33
传播,140
信仰,239
共产主义,102
理念,43
言论,119
纯属,27
个人观点,46
供职,43
单位,76
无关,114
扛过,18
枪,26
敬仰,22
毛,75
爷爷,16
享受,104
自行车,5
骑行,19
乐趣,19
统计师,1
基层,23
党支部,2
书记,28
派,58
自干,163
堵住,1
心情,65
默默,16
奉献者,2
影响,20
灵魂,103
贼,32
文革,43
余孽,20
义和团,2
拳匪,1
主义,68
马前卒,4
炒股,17
