word,size
中国,1153
生活,1112
关注,877
世界,865
喜欢,804
人生,788
自由,660
微博,603
社会,528
com,483
年,457
请,415
快乐,397
事,395
努力,394
想,377
天下,374
走,357
正义,352
心,345
反台独,342
国家,335
支持,334
毛泽东思想,327
http,325
民主,324
永远,319
爱国,315
思想,315
网络,314
希望,291
正,291
幸福,288
工作,288
历史,287
文化,283
里,281
毛主席,277
朋友,267
热爱,258
梦,257
新,254
能量,252
生命,251
追求,249
信仰,239
微信,238
律师,236
一种,234
服务,232
科学,232
专业,230
党,229
梦想,228
反对,225
简单,221
非,221
学习,219
一生,218
时,215
北京,212
号,211
路,209
爱好者,209
the,204
吃,203
笑,198
读书,197
狗,197
月,193
媒体,191
力量,191
改变,190
做人,189
死,186
一枚,186
反,185
理性,184
道,184
www,183
自然,182
未来,182
健康,181
研究,180
时间,180
法律,179
逼,179
旅游,177
精神,176
善良,175
I,171
愿,171
思考,170
时代,169
代表,168
关心,167
美好,167
理想,166
